SEASON,Meditation,OT READING,NT YEAR A,NT YEAR B,NT YEAR C,Comments
Advent,Psalm,,,,,
Advent,Psalm,,,,,
Advent,Psalm,,,,,
Advent,Psalm,,,,,
Advent,Psalm,,,,,
Advent,Psalm,,,,,
Advent,,Isaiah 11:1-10,Matthew 1:1-17,,,
Advent,,Genesis 1:1-2:3,,,,
Advent,,Genesis 2:7-9; 15-25,,,,
Advent,,Genesis 3:1-24,,,,
Advent,,Genesis 6:5-22; 9:8-17,,,,
Advent,,Genesis 12:1-7; 15:1-6,,,,
Advent,,Genesis 22:1-14,,,,
Advent,,Genesis 28:10-22,,,,
Advent,,Genesis 37:3-36; 50:15-21,,,,
Advent,,Exodus 3:1-12,,,,
Advent,,Exodus 12:1-28,,,,
Advent,,Exodus 20:1-21,,,,
Advent,,Joshua 6:1-20,,,,
Advent,,Ruth 1:1-22; 4:13-17,,,,
Advent,,1 Samuel 16:1-13,,,,
Advent,,2 Samuel 7:1-17,,,,
Advent,,1 Kings 18:17-39,,,,
Advent,,Jonah 1:1-17; 3:1-10,,,,
Advent,,,Luke 1:1-25,,,
Advent,,,Luke 1:26-56,,,
Advent,,,Luke 1:57-80,,,
Advent,,Micah 5:2-4,Matthew 1:18-23; Luke 2:1-5,,,
Christmas,,Isaiah 9:2-7,Luke 2:1-21,,,
Christmas,,Psalm 98,,,,
Christmas,,Psalm 2,,,,
Christmas,,Psalm 18,,,,
Christmas,,Psalm 20,,,,
Christmas,,Psalm 21,,,,
Christmas,,Psalm 45,,,,
Christmas,,Psalm 72,,,,
Christmas,,Psalm 101,,,,
Christmas,,Psalm 110,,,,
Christmas,,Psalm 132,,,,
Christmas,,Psalm 144,,,,
Epiphany,Proverbs 1,,Matthew 1:18-2:12,Matthew 1:18-2:12,Matthew 1:18-2:12,Note tomorrow's note
Epiphany,Proverbs 2,,Matthew 2:13-23,Luke 2:22-52,,"If this day is Baptism, read this with yesterday's reading. What I mean is: if Baptism readings (Matthew 3) land on the second day of Epiphany, you will need to read Matthre 1-2 et al. all on the first day of Epiphany"
Epiphany,Proverbs 3-4,,,,,
Epiphany,Proverbs 5,,,,,
Epiphany,Proverbs 6,,,,,
Epiphany,Proverbs 7,,,,,
Epiphany,Proverbs 8,,,,,
Epiphany,Proverbs 9,,Matthew 3,Luke 3:1-22,Mark 1:1-13,This is Baptism
Epiphany,Proverbs 10-11,,Matthew 4,Luke 3:23-4,Mark 1:14-45,
Epiphany,Proverbs 12,,Matthew 5,Luke 5-6:19,Mark 2-3:19,
Epiphany,Proverbs 13,,Matthew 6,Matthew 5,Matthew 5,
Epiphany,Proverbs 14,,Matthew 7,Matthew 6,Matthew 6,
Epiphany,Proverbs 15,,Matthew 8,Matthew 7,Matthew 7,
Epiphany,Proverbs 16,,Matthew 9,Luke 6:20-7,Mark 3:20-4,
Epiphany,Proverbs 17,,Matthew 10,Luke 8,Mark 5,
Epiphany,Proverbs 18,,Matthew 11,Luke 9,Mark 6,
Epiphany,Proverbs 19,,Matthew 12,Luke 10,Mark 7,
Epiphany,Proverbs 20,,Matthew 13,Luke 11,Mark 8,
Epiphany,Provers 21-22:16,,Matthew 14,Luke 12,Mark 9,
Epiphany,Proverbs 22:17-24,,Matthew 15,Luke 13,Mark 10,
Epiphany,Proverbs 25,,Matthew 16,Luke 14,,
Epiphany,Proverbs 26,,Matthew 17,Luke 15,,
Epiphany,Proverbs 27,,Matthew 18,Luke 16,,
Epiphany,Proverbs 28,,Matthew 19,Luke 17,,
Epiphany,Proverbs 29,,Matthew 20,Luke 18,,
Epiphany,Proverbs 30,,,Luke 19:1-27,,
Epiphany,Proverbs 31,,,,,
Epiphany,Psalm,,John 1:1-18,John 1:1-18,John 1:1-18,
First Ordinary Time,Psalm,,John 1:19-34,John 1:19-34,John 1:19-34,
First Ordinary Time,Psalm,,John 1:35-51,John 1:35-51,John 1:35-51,
First Ordinary Time,Psalm,,John 2,John 2,John 2,
First Ordinary Time,Psalm,,John 3,John 3,John 3,
First Ordinary Time,Psalm,,John 4,John 4,John 4,
First Ordinary Time,Psalm,,John 5,John 5,John 5,
First Ordinary Time,Psalm,,John 6,John 6,John 6,
First Ordinary Time,Psalm,,John 7,John 7,John 7,
First Ordinary Time,Psalm,,John 8,John 8,John 8,
First Ordinary Time,Psalm,,John 9,John 9,John 9,
First Ordinary Time,Psalm,,John 10,John 10,John 10,
First Ordinary Time,Psalm,,John 11,John 11,John 11,
First Ordinary Time,Psalm,,John 12:1-11,John 12:1-11,John 12:1-11,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
First Ordinary Time,Psalm,,,,,
Lent,Psalm,Genesis 1-4,,,,
Lent,Psalm,Genesis 5-6:8,,,,
Lent,Psalm,Genesis 6:9-11:26,,,,
Lent,Psalm,,,,,
Lent,Psalm,Genesis 11:27-14,,,,
Lent,Psalm,Genesis 15-17,,,,
Lent,Psalm,Genesis 18-19,,,,
Lent,Psalm,Genesis 20-22,,,,
Lent,Psalm,Genesis 22-25:11,,,,
Lent,Psalm,,,,,
Lent,Psalm,Genesis 25:19-28,,,,
Lent,Psalm,Genesis 29-31,,,,
Lent,Psalm,Genesis 32-36,,,,
Lent,Psalm,,,,,
Lent,Psalm,Genesis 37-40,,,,
Lent,Psalm,Genesis 41-42,,,,
Lent,Psalm,Genesis 43-45,,,,
Lent,Psalm,Genesis 46-47,,,,
Lent,Psalm,Genesis 48-50,,,,
Lent,Psalm,,,,,
Lent,Psalm,Job 1-2,,,,
Lent,Psalm,Job 3-5,,,,
Lent,Psalm,Job 6-7,,,,
Lent,Psalm,Job 8-10,,,,
Lent,Psalm,Job 11-14,,,,
Lent,Psalm,Job 15-17,,,,
Lent,Psalm,Job 18-19,,,,
Lent,Psalm,Job 20-21,,,,
Lent,Psalm,Job 22-24,,,,
Lent,Psalm,Job 25-27,,,,
Lent,Psalm,Job 28,,,,
Lent,Psalm,,,,,
Lent,Psalm,Job 29-31,,,,
Lent,Psalm,Job 32-34,,,,
Lent,Psalm,Job 35-37,,,,
Lent,Psalm,Job 38-39,,,,
Lent,Psalm,Job 40-42:6,,,,
Lent,Psalm,Job 42:7-17,,,,
Lent,Psalm,,,,,
Lent,Psalm,Exodus 1-2,John 12:12-19; Matthew 21:1-17,John 12:12-19; Luke 19:28-44,John 12:12-19; Mark 11:1-11,
Lent,Psalm,Exodus 3-4,John 12:20-36; Matthew 21:18-46,John 12:20-36; Luke 19:45-48,John 12:20-36; Mark 11:12-19,
Lent,Psalm,Exodus 5-7:13,John 12:37-50; Matthew 22:1-46,John 12:37-50; Luke 20:1-40,John 12:37-50; Mark 11:20-33,
Lent,Psalm,Exodus 7:14-10,Matthew 23-24,Luke 20:41-21:38,Mark 12:1-44,
Lent,Psalm,Exodus 11-12,John 13-16; Luke 22:1-38,John 13-16; Luke 22:1-38,John 13-16; Mark 14:1-31,
Lent,Psalm,Lamentations 1-2;Lamentations 3-5,John 17-19; Matthew 26:36-27:61,John 17-19; Luke 22:39-23:56,John 17-19; Mark 14:32-15,
Lent,Psalm,Esther 1-5;Esther 6-10,,,,
Easter,Psalm,Exodus 13-15:21,John 20:1-18; Matthew 27:62-28:10,John 20:1-18; Luke 24:1-12,John 20:1-18; Mark 16:1-8,
Easter,Psalm,Exodus 15:22-17:16,John 20:19-31; Matthew 28:11-20,John 20:19-31; Luke 24:13-35,John 20:19-31; Mark 16:9-20,
Easter,Psalm,Exodus 18-19,John 21,John 21; Luke 24:36-53,John 21,
Easter,Psalm,,,,,
Easter,Psalm,Exodus 20-21:11,,,,
Easter,Psalm,Exodus 21:12-23:33,,,,
Easter,Psalm,Exodus 24-25,,,,
Easter,Psalm,Exodus 26-27,,,,
Easter,Psalm,Exodus 28-29,,,,
Easter,Psalm,Exodus 30-31,,,,
Easter,Psalm,Exodus 32-33,,,,
Easter,Psalm,Exodus 34,,,,
Easter,Psalm,Exodus 35-40,,,,
Easter,Psalm,,,,,
Easter,Psalm,Leviticus 1-4,,,,
Easter,Psalm,Leviticus 5-7,,,,
Easter,Psalm,Leviticus 8-10,,,,
Easter,Psalm,Leviticus 11-15,,,,
Easter,Psalm,Leviticus 16,,,,
Easter,Psalm,Leviticus 17-20,,,,
Easter,Psalm,Leviticus 21-23,,,,
Easter,Psalm,Leviticus 24-25,,,,
Easter,Psalm,Leviticus 26-27,,,,
Easter,Psalm, ,,,,
Easter,Psalm,Numbers 1-4,,,,
Easter,Psalm,Numbers 5-7,,,,
Easter,Psalm,Numbers 8-10,,,,
Easter,Psalm,Numbers 11-14,,,,
Easter,Psalm,Numbers 15-18,,,,
Easter,Psalm,Numbers 19-21,,,,
Easter,Psalm,Numbers 22-24,,,,
Easter,Psalm,Numbers 25-27,,,,
Easter,Psalm,Numbers 28-30,,,,
Easter,Psalm,Numbers 31-32,,,,
Easter,Psalm,Numbers 33-36,,,,
Easter,Psalm,,,,,
Easter,Psalm,Deuteronomy 1-4,,,,
Easter,Psalm,Deuteronomy 6-9,,,,
Easter,Psalm,,,,,
Easter,,,Acts 1:1-11,,,
Easter,Psalm, ,,,,
Easter,Psalm,Deuteronomy 10-14,,,,
Easter,Psalm,Deuteronomy 15-19,,,,
Easter,Psalm,Deuteronomy 20-24,,,,
Easter,Psalm,Deuteronomy 25-27,,,,
Easter,Psalm,Deuteronomy 28,,,,
Easter,Psalm,Deuteronomy 29-31,,,,
Easter,Psalm,Deuteronomy 32-34,,,,
Easter,Psalm,,,,,
Easter,Psalm,Ruth 1-4,Acts 1-2,,,
Second Ordinary Time,Psalm,,Acts 3-4,,,
Second Ordinary Time,Psalm,,Acts 5-6,,,
Second Ordinary Time,Psalm,,Acts 7-8,,,
Second Ordinary Time,Psalm,,Acts 9-10,,,
Second Ordinary Time,Psalm,,Acts 11-15,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,,Psalm 29,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,Acts 16-20,,,
Second Ordinary Time,Psalm,,Acts 21-22,,,
Second Ordinary Time,Psalm,,Acts 23-24,,,
Second Ordinary Time,Psalm,,Acts 25-26,,,
Second Ordinary Time,Psalm,,Acts 27-28,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Joshua 1-4;Joshua 5-8,,,,
Second Ordinary Time,Psalm,Joshua 9-12;Joshua 13-21,,,,
Second Ordinary Time,Psalm,Joshua 22-24,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Judges 1-3;Judges 4-5,,,,
Second Ordinary Time,Psalm,Judges 6-8;Judges 9-12,,,,
Second Ordinary Time,Psalm,Judges 13-15;Judges 16-18,,,,
Second Ordinary Time,Psalm,Judges 19-21,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,1 Samuel 1-3;1 Samuel 4-8,,,,
Second Ordinary Time,Psalm,1 Samuel 9-12;1 Samuel 13-15,,,,
Second Ordinary Time,Psalm,1 Samuel 15-17;1 Samuel 18-20,,,,
Second Ordinary Time,Psalm,1 Samuel 21-24;1 Samuel 25-27,,,,
Second Ordinary Time,Psalm,1 Samuel 28-31,,,,
Second Ordinary Time,Psalm,2 Samuel 1-3;2 Samuel 4-8,,,,
Second Ordinary Time,Psalm,2 Samuel 9-12;2 Samuel 13-15,,,,
Second Ordinary Time,Psalm,2 Samuel 16-18;2 Samuel 19-21,,,,
Second Ordinary Time,Psalm,2 Samuel 22-24,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,1 Kings 1-4;1 Kings 4-7,,,,
Second Ordinary Time,Psalm,1 Kings 8-10;1 Kings 11-13,,,,
Second Ordinary Time,Psalm,1 Kings 14-16;1 Kings 17-19,,,,
Second Ordinary Time,Psalm,1 Kings 20-22,,,,
Second Ordinary Time,Psalm,2 Kings 1-3;2 Kings 4-7,,,,
Second Ordinary Time,Psalm,2 Kings 8-11;2 Kings 12-14,,,,
Second Ordinary Time,Psalm,2 Kings 15-17;2 Kings 18-19,,,,
Second Ordinary Time,Psalm,2 Kings 20-22;2 Kings 23-25,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Isaiah 1-4;Isaiah 5-8,,,,
Second Ordinary Time,Psalm,Isaiah 9-12;Isaiah 13-17,,,,
Second Ordinary Time,Psalm,Isaiah 18-22;Isaiah 23-27,,,,
Second Ordinary Time,Psalm,Isaiah 28-30;Isaiah 31-35,,,,
Second Ordinary Time,Psalm,Isaiah 36-38;Isaiah 39-41,,,,
Second Ordinary Time,Psalm,Isaiah 42-44;Isaiah 45-48,,,,
Second Ordinary Time,Psalm,Isaiah 49-51;Isaiah 52-54,,,,
Second Ordinary Time,Psalm,Isaiah 55-57;Isaiah 58-60,,,,
Second Ordinary Time,Psalm,Isaiah 61-64;Isaiah 65-66,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Jeremiah 1-3;Jeremiah 4-6,,,,
Second Ordinary Time,Psalm,Jeremiah 7-9;Jeremiah 10-13,,,,
Second Ordinary Time,Psalm,Jeremiah 14-17;Jeremiah 18-22,,,,
Second Ordinary Time,Psalm,Jeremiah 23-25;Jeremiah 26-29,,,,
Second Ordinary Time,Psalm,Jeremiah 30-32;Jeremiah 33-36,,,,
Second Ordinary Time,Psalm,Jeremiah 37-39;Jeremiah 40-44,,,,
Second Ordinary Time,Psalm,Jeremiah 45-48;Jeremiah 49-50,,,,
Second Ordinary Time,Psalm,Jeremiah 51-52,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Ezekiel 1-4;Ezekiel 5-8,,,,
Second Ordinary Time,Psalm,Ezekiel 9-12;Ezekiel 13-15,,,,
Second Ordinary Time,Psalm,Ezekiel 16-18;Ezekiel 19-21,,,,
Second Ordinary Time,Psalm,Ezekiel 22-24;Ezekiel 25-27,,,,
Second Ordinary Time,Psalm,Ezekiel 28-30;Ezekiel 31-33,,,,
Second Ordinary Time,Psalm,Ezekiel 34-36;Ezekiel 37-39,,,,
Second Ordinary Time,Psalm,Ezekiel 40-44;Ezekiel 45-48,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Hosea 1-5;Hosea 6-10,,,,
Second Ordinary Time,Psalm,Hosea 11-14,,,,
Second Ordinary Time,Psalm,Joel 1-3,,,,
Second Ordinary Time,Psalm,Amos 1-5;Amos 6-9,,,,
Second Ordinary Time,Psalm,Obadiah 1,,,,
Second Ordinary Time,Psalm,Jonah 1-4,,,,
Second Ordinary Time,Psalm,Micah 1-4;Micah 5-7,,,,
Second Ordinary Time,Psalm,Nahum 1-3,,,,
Second Ordinary Time,Psalm,Habakkuk 1-3,,,,
Second Ordinary Time,Psalm,Zephaniah 1-3,,,,
Second Ordinary Time,Psalm,Haggai 1-2,,,,
Second Ordinary Time,Psalm,Zechariah 1-4;Zechariah 5-8,,,,
Second Ordinary Time,Psalm,Zechariah 9-14,,,,
Second Ordinary Time,Psalm,Malachi 1-2;Malachi 3-4,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Daniel 1-3;Daniel 4-6,,,,
Second Ordinary Time,Psalm,Daniel 7-9;Daniel 10-12,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Ezra 1-3;Ezra 4-7,,,,
Second Ordinary Time,Psalm,Ezra 8-10,,,,
Second Ordinary Time,Psalm,Nehemiah 1-3;Nehemiah 4-6,,,,
Second Ordinary Time,Psalm,Nehemiah 7-9;Nehemiah 10-11,,,,
Second Ordinary Time,Psalm,Nehemiah 12-13,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,1 Chronicles 1-10;1 Chronicles 11-14,,,,
Second Ordinary Time,Psalm,1 Chronicles 15-17;1 Chronicles 18-21,,,,
Second Ordinary Time,Psalm,1 Chronicles 22-24;1 Chronicles 25-29,,,,
Second Ordinary Time,Psalm,2 Chronicles 1-4;2 Chronicles 5-8,,,,
Second Ordinary Time,Psalm,2 Chronicles 9-12;2 Chronicles 13-17,,,,
Second Ordinary Time,Psalm,2 Chronicles 18-20;2 Chronicles 21-24,,,,
Second Ordinary Time,Psalm,2 Chronicles 25-27;2 Chronicles 28-31,,,,
Second Ordinary Time,Psalm,2 Chronicles 32-34;2 Chronicles 35-36,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Romans 1-2;Romans 3-4,,,,
Second Ordinary Time,Psalm,Romans 5-6;Romans 7-8,,,,
Second Ordinary Time,Psalm,Romans 9-10;Romans 11-12,,,,
Second Ordinary Time,Psalm,Romans 13-14;Romans 15-16,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,1 Corinthians 1-2;1 Corinthians 3-4,,,,
Second Ordinary Time,Psalm,1 Corinthians 5-6;1 Corinthians 7-8,,,,
Second Ordinary Time,Psalm,1 Corinthians 9-10;1 Corinthians 11-12,,,,
Second Ordinary Time,Psalm,1 Corinthians 13-14;1 Corinthians 15-16,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,2 Corinthians 1-2;2 Corinthians 3-4,,,,
Second Ordinary Time,Psalm,2 Corinthians 5-6;2 Corinthians 7-8,,,,
Second Ordinary Time,Psalm,2 Corinthians 9-10;2 Corinthians 11-13,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Galatians 1-2;Galatians 3-4,,,,
Second Ordinary Time,Psalm,Galatians 5-6,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Ephesians 1-2;Ephesians 3-4,,,,
Second Ordinary Time,Psalm,Ephesians 5-6,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Philippians 1-2;Philippians 3-4,,,,
Second Ordinary Time,Psalm,Colossians 1-2;Colossians 3-4,,,,
Second Ordinary Time,Psalm,1 Thessalonians 1-2;1 Thessalonians 3-4,,,,
Second Ordinary Time,Psalm,1 Thessalonians 5,,,,
Second Ordinary Time,Psalm,2 Thessalonians 1-3,,,,
Second Ordinary Time,Psalm,1 Timothy 1-3;1 Timothy 4-6,,,,
Second Ordinary Time,Psalm,2 Timothy 1-4,,,,
Second Ordinary Time,Psalm,Titus 1-3,,,,
Second Ordinary Time,Psalm,Philemon 1,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Hebrews 1-2;Hebrews 3-4,,,,
Second Ordinary Time,Psalm,Hebrews 5-6;Hebrews 7-8,,,,
Second Ordinary Time,Psalm,Hebrews 9-10;Hebrews 11-13,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,James 1-3;James 4-5,,,,
Second Ordinary Time,Psalm,1 Peter 1-2;1 Peter 3-5,,,,
Second Ordinary Time,Psalm,2 Peter 1-3,,,,
Second Ordinary Time,Psalm,1 John 1-2;1 John 3-5,,,,
Second Ordinary Time,Psalm,2 & 3 John 1,,,,
Second Ordinary Time,Psalm,Jude 1,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Revelation 1-3;Revelation 4-6,,,,
Second Ordinary Time,Psalm,Revelation 7-9;Revelation 10-11,,,,
Second Ordinary Time,Psalm,Revelation 12-13;Revelation 14-16,,,,
Second Ordinary Time,Psalm,Revelation 17-18;Revelation 19-20,,,,
Second Ordinary Time,Psalm,Revelation 21-22,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Ecclesiastes 1-4;Ecclesiastes 5-8,,,,
Second Ordinary Time,Psalm,Ecclesiastes 9-12,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Song of Songs 1-4;Song of Songs 5-8,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,